λοιπῶνἀφανῶν#λοιπῶν ἀφανῶν
αὐτήδιήχθω#αὐτή διήχθω
περὶἐκείνους#περὶ ἐκείνους
ἡἀπολαμβανομένη#ἡ ἀπολαμβανομένη
δίχατε#δίχα τε
δυσμὰςπερὶ#δυσμὰς περὶ
αὐτὴκαὶ#αὐτὴ καὶ
τῶνδιὰ#τῶν διὰ
εἰλημμένηςἐν#εἰλημμένης ἐν
γίνεταιγὰρ#γίνεται γὰρ
φερούσηςτὸν#φερούσης τὸν
παλαιῶνἅμα#παλαιῶν ἅμα
ἀνεπαίσθητοςἔτι#ἀνεπαίσθητος ἔτι
λοιπὰμέθοδον#λοιπὰ μέθοδον
τὴνἰσημερινήν#τὴν ἰσημερινήν
τῶνἀριθμῶν#τῶν ἀριθμῶν
εἰκασίανἢ#εἰκασίαν ἢ
καὶἀποληφθείσης#καὶ ἀποληφθείσης
γινομέναςπρὸς#γινομένας πρὸς
εὐθείαςὑποκειμένης#εὐθείας ὑποκειμένης
λόγοςσυνημμένος#λόγος συνημμένος
ἐλάσσοναλόγον#ἐλάσσονα λόγον
ζῳδίωνκύκλος#ζῳδίων κύκλος
εἰςτοῦτο#εἰς τοῦτο
φορὰνἐπ'#φορὰν ἐπ'
ἢδισκοειδῆ#ἢ δισκοειδῆ
προηγούμενοςδὲ#προηγούμενος δὲ
παραλλήλουςπάλιν#παραλλήλους πάλιν
τετὸν#τε τὸν
ταῖςἐπ'#ταῖς ἐπ'
τετὴν#τε τὴν
ἐπὶταύτης#ἐπὶ ταύτης
τὴνοἰκείαν#τὴν οἰκείαν
τοὺςὑστέρους#τοὺς ὑστέρους
τεἐπὶ#τε ἐπὶ
ὑπαρχούσηςπερὶ#ὑπαρχούσης περὶ
τὰδιὰ#τὰ διὰ
ἕνεκεντῶν#ἕνεκεν τῶν
δυναμένηςτῆς#δυναμένης τῆς
προσήκεινἐπεξεργάζεσθαι#προσήκειν ἐπεξεργάζεσθαι
πλάγιαμέρη#πλάγια μέρη
τὸνδ'#τὸν δ'
μοῖρανλόγου#μοῖραν λόγου
εὐθεῖαμικρὸν#εὐθεῖα μικρὸν
τὸνἐπὶ#τὸν ἐπὶ
πόλουτοῦ#πόλου τοῦ
μὲνἄλλα#μὲν ἄλλα
τοὺςμέσους#τοὺς μέσους
αὐτὸπᾶσιν#αὐτὸ πᾶσιν
καὶπροκείσθω#καὶ προκείσθω
καὶἦν#καὶ ἦν
τῆςἑπομένης#τῆς ἑπομένης
κύκλουκαὶ#κύκλου καὶ
ἴσηνγίνεσθαι#ἴσην γίνεσθαι
ἀνατολῶνἐπὶ#ἀνατολῶν ἐπὶ
ὁρῶμενπλεονάκις#ὁρῶμεν πλεονάκις
παρ'ἑκάστοις#παρ' ἑκάστοις
τὸνἥλιον#τὸν ἥλιον
τοῦοἰκείου#τοῦ οἰκείου
πέμπτηχρόνους#πέμπτη χρόνους
ἐὰνπρὸς#ἐὰν πρὸς
τῷκέντρῳ#τῷ κέντρῳ
τῶνἀπολαμβανομένων#τῶν ἀπολαμβανομένων
δὲδύο#δὲ δύο
ἐπείπερἐδείχθησαν#ἐπείπερ ἐδείχθησαν
πρὸςβεβαίαν#πρὸς βεβαίαν
προδιαλήψεωςοἷον#προδιαλήψεως οἷον
τιμοχάριδοςἐπιλογίζεται#τιμοχάριδος ἐπιλογίζεται
οὕτωςσυμβήσεται#οὕτως συμβήσεται
περίμετρονὑποτιθέμεθα#περίμετρον ὑποτιθέμεθα
τῶνἀποδεδειγμένων#τῶν ἀποδεδειγμένων
ἀπεχόντωνἐφ'#ἀπεχόντων ἐφ
μέχριτῆς#μέχρι τῆς
μερόηςπαραλλήλου#μερόης παραλλήλου
ὁἐπὶ#ὁ ἐπὶ
ἀπὸτῶν#ἀπὸ τῶν
καὶδυσὶ#καὶ δυσὶ
ἐφ'ἑκάτερα#ἐφ' ἑκάτερα
δοθέντωνἅπαξ#δοθέντων ἅπαξ
περισσὸνἡγησάμεθα#περισσὸν ἡγησάμεθα
διαφοράμάλιστα#διαφορά μάλιστα
αὐτῷπλησιαζόντων#αὐτῷ πλησιαζόντων
τέτμηταιδίχα#τέτμηται δίχα
κύκλοςὁ#κύκλος ὁ
ἐστίνἀλλὰ#ἐστίν ἀλλὰ
κύκλουπρότερον#κύκλου πρότερον
ἐὰνἡ#ἐὰν ἡ
περιφέρειατῆς#περιφέρεια τῆς
